epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68466,1.36982,3.50203,1.29146,0.17333,0.52792,0.13352,0.09502,0.83935,2.96746,0.96153,0,0,0.1
2,11.2663,0.87821,3.30997,1.12797,0.26667,0.81218,0.2583,0.1896,0.79846,2.78417,0.93672,9.87625e-06,9.87625e-06,0.0990099
3,17.0262,1.01674,3.08879,1.11147,0.305,0.92893,0.57801,0.43744,0.86019,2.6229,0.93844,1.9505e-05,1.9505e-05,0.0980195
4,22.4882,1.18395,2.95032,1.09371,0.305,0.92893,0.82174,0.6002,0.95447,2.48202,0.9415,2.88863e-05,2.88863e-05,0.0970289
5,27.5443,0.93107,2.47609,1.10323,0.305,0.92893,0.90892,0.66616,0.94338,2.36837,0.93234,3.802e-05,3.802e-05,0.096038
6,32.9184,0.83762,2.51963,1.06531,0.30167,0.91878,0.91727,0.69639,0.90144,2.28215,0.9207,4.69063e-05,4.69063e-05,0.0950469
7,38.1923,0.83098,2.19797,1.01822,0.30167,0.91878,0.92662,0.71653,0.85497,2.19344,0.90981,5.5545e-05,5.5545e-05,0.0940555
8,43.6308,0.85316,1.96788,1.00669,0.30333,0.92386,0.92964,0.71489,0.80722,2.12534,0.90912,6.39362e-05,6.39362e-05,0.0930639
9,48.8643,0.79894,1.84529,0.97725,0.30333,0.92386,0.92964,0.71489,0.80722,2.12534,0.90912,7.208e-05,7.208e-05,0.0920721
10,54.2255,0.81499,1.87711,0.99123,0.30333,0.92386,0.92925,0.69147,0.78624,2.03254,0.90976,7.99762e-05,7.99762e-05,0.09108
11,59.4277,0.83117,1.773,1.02142,0.30333,0.92386,0.92925,0.69147,0.78624,2.03254,0.90976,8.7625e-05,8.7625e-05,0.0900876
12,64.6947,0.78825,1.67368,1.0134,0.305,0.92893,0.93047,0.69416,0.78899,1.93078,0.90682,9.50263e-05,9.50263e-05,0.089095
13,69.945,0.85321,1.64093,0.96412,0.305,0.92893,0.93047,0.69416,0.78899,1.93078,0.90682,0.00010218,0.00010218,0.0881022
14,75.4384,0.88303,1.65269,0.98865,0.30667,0.93401,0.93151,0.68759,0.86069,1.83208,0.92101,0.000109086,0.000109086,0.0871091
15,80.7166,0.80926,1.3975,0.98678,0.30667,0.93401,0.93151,0.68759,0.86069,1.83208,0.92101,0.000115745,0.000115745,0.0861157
16,86.2499,0.81309,1.49292,0.96273,0.30333,0.92386,0.92942,0.68189,0.96541,1.72212,0.94459,0.000122156,0.000122156,0.0851222
17,91.7526,0.86255,1.22691,0.98146,0.30333,0.92386,0.92942,0.68189,0.96541,1.72212,0.94459,0.00012832,0.00012832,0.0841283
18,97.6837,0.87175,1.16792,1.00021,0.30167,0.91878,0.92837,0.6888,0.98842,1.62525,0.94931,0.000134236,0.000134236,0.0831342
19,102.92,0.85736,1.05728,0.95256,0.30167,0.91878,0.92837,0.6888,0.98842,1.62525,0.94931,0.000139905,0.000139905,0.0821399
20,108.956,0.82314,1.13613,0.95554,0.48373,0.91878,0.92837,0.72122,0.91729,1.53581,0.93283,0.000145326,0.000145326,0.0811453
21,114.949,0.84718,0.96898,0.96605,0.48373,0.91878,0.92837,0.72122,0.91729,1.53581,0.93283,0.0001505,0.0001505,0.0801505
22,120.878,0.82487,1.03228,0.98274,0.98036,0.91878,0.92921,0.74391,0.83638,1.47427,0.92186,0.000155426,0.000155426,0.0791554
23,126.611,0.78932,0.95843,0.95924,0.98036,0.91878,0.92921,0.74391,0.83638,1.47427,0.92186,0.000160105,0.000160105,0.0781601
24,132.372,0.76234,0.91909,0.97253,0.98036,0.91878,0.92921,0.74391,0.83638,1.47427,0.92186,0.000164536,0.000164536,0.0771645
25,139.504,0.75243,0.91444,0.9398,0.99285,0.91878,0.93073,0.7546,0.78631,1.41915,0.91714,0.00016872,0.00016872,0.0761687
26,145.499,0.78873,0.89927,0.98302,0.99285,0.91878,0.93073,0.7546,0.78631,1.41915,0.91714,0.000172656,0.000172656,0.0751727
27,150.785,0.73907,0.85029,0.94594,0.99285,0.91878,0.93073,0.7546,0.78631,1.41915,0.91714,0.000176345,0.000176345,0.0741763
28,156.427,0.74696,0.85704,0.94077,0.99446,0.91878,0.93114,0.73659,0.79723,1.38336,0.92881,0.000179786,0.000179786,0.0731798
29,161.597,0.70426,0.82351,0.96449,0.99446,0.91878,0.93114,0.73659,0.79723,1.38336,0.92881,0.00018298,0.00018298,0.072183
30,166.77,0.75752,0.83476,0.94023,0.99446,0.91878,0.93114,0.73659,0.79723,1.38336,0.92881,0.000185926,0.000185926,0.0711859
31,173.426,0.79487,0.82667,0.96473,0.99436,0.91878,0.93135,0.72897,0.80797,1.3642,0.94119,0.000188625,0.000188625,0.0701886
32,179.104,0.74564,0.80704,0.95153,0.99436,0.91878,0.93135,0.72897,0.80797,1.3642,0.94119,0.000191076,0.000191076,0.0691911
33,184.297,0.74596,0.80166,0.93666,0.99436,0.91878,0.93135,0.72897,0.80797,1.3642,0.94119,0.00019328,0.00019328,0.0681933
34,189.643,0.86437,0.82027,0.93804,0.99627,0.91878,0.93152,0.74378,0.79392,1.34028,0.94368,0.000195236,0.000195236,0.0671952
35,194.71,0.76504,0.75518,0.94909,0.99627,0.91878,0.93152,0.74378,0.79392,1.34028,0.94368,0.000196945,0.000196945,0.0661969
36,199.979,0.78758,0.73041,0.92131,0.99627,0.91878,0.93152,0.74378,0.79392,1.34028,0.94368,0.000198406,0.000198406,0.0651984
37,204.84,0.78436,1.09996,1.00567,0.99627,0.91878,0.93152,0.74378,0.79392,1.34028,0.94368,0.00019962,0.00019962,0.0641996
38,210.208,0.72273,0.74231,0.92594,0.9976,0.91878,0.93165,0.75246,0.76118,1.3098,0.93342,0.000200586,0.000200586,0.0632006
39,215.523,0.64985,0.91815,0.96128,0.9976,0.91878,0.93165,0.75246,0.76118,1.3098,0.93342,0.000201305,0.000201305,0.0622013
40,221.104,0.71007,0.72358,0.91387,0.9976,0.91878,0.93165,0.75246,0.76118,1.3098,0.93342,0.000201776,0.000201776,0.0612018
41,226.476,0.67671,0.73683,0.92682,0.9976,0.91878,0.93165,0.75246,0.76118,1.3098,0.93342,0.000202,0.000202,0.060202
42,231.554,0.6961,0.73953,0.95774,0.99829,0.91878,0.9305,0.75831,0.76332,1.26981,0.92509,0.000201976,0.000201976,0.059202
43,237.286,0.71302,0.75428,0.92368,0.99829,0.91878,0.9305,0.75831,0.76332,1.26981,0.92509,0.000201705,0.000201705,0.0582017
44,242.595,0.72347,0.7314,0.92936,0.99829,0.91878,0.9305,0.75831,0.76332,1.26981,0.92509,0.000201186,0.000201186,0.0572012
45,247.862,0.72327,0.96635,0.95526,0.99829,0.91878,0.9305,0.75831,0.76332,1.26981,0.92509,0.00020042,0.00020042,0.0562004
46,253.328,0.68418,0.87994,0.94206,0.99873,0.91878,0.93028,0.76626,0.76622,1.23564,0.92116,0.000199406,0.000199406,0.0551994
47,259.175,0.69665,0.74905,0.92643,0.99873,0.91878,0.93028,0.76626,0.76622,1.23564,0.92116,0.000198145,0.000198145,0.0541981
48,265.134,0.69542,0.7484,0.93725,0.99873,0.91878,0.93028,0.76626,0.76622,1.23564,0.92116,0.000196636,0.000196636,0.0531966
49,270.531,0.70304,0.74234,0.91097,0.99873,0.91878,0.93028,0.76626,0.76622,1.23564,0.92116,0.00019488,0.00019488,0.0521949
50,276.219,0.73382,0.73681,0.87639,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000192876,0.000192876,0.0511929
51,281.681,0.67407,0.77885,0.908,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000190625,0.000190625,0.0501906
52,287.4,0.75114,0.69145,0.91458,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000188126,0.000188126,0.0491881
53,292.771,0.71347,0.84422,0.92736,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.00018538,0.00018538,0.0481854
54,298.125,0.69505,0.70708,0.91179,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000182386,0.000182386,0.0471824
55,303.354,0.681,0.78641,0.9254,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000179145,0.000179145,0.0461791
56,309.054,0.69212,0.69009,0.90041,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000175656,0.000175656,0.0451757
57,314.472,0.65068,0.95016,0.93399,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.00017192,0.00017192,0.0441719
58,320.118,0.69045,0.81136,0.90736,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000167936,0.000167936,0.0431679
59,325.845,0.68282,0.73144,0.8964,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000163705,0.000163705,0.0421637
60,334.107,0.63416,0.75156,0.91246,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000159226,0.000159226,0.0411592
61,339.362,0.58802,0.929,0.89742,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.0001545,0.0001545,0.0401545
62,344.633,0.63888,1.04497,0.93469,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000149526,0.000149526,0.0391495
63,349.94,0.66322,0.939,0.91378,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000144305,0.000144305,0.0381443
64,355.197,0.65623,0.68558,0.89311,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000138836,0.000138836,0.0371388
65,360.869,0.63211,0.71744,0.91101,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.00013312,0.00013312,0.0361331
66,366.311,0.65873,0.77395,0.91732,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000127156,0.000127156,0.0351272
67,371.91,0.67707,0.77758,0.91575,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000120945,0.000120945,0.0341209
68,377.347,0.75952,0.71272,0.91085,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000114486,0.000114486,0.0331145
69,382.537,0.66338,0.72266,0.90495,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.00010778,0.00010778,0.0321078
70,387.975,0.71222,0.69912,0.9122,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000100826,0.000100826,0.0311008
71,392.878,0.59882,0.98931,0.89362,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,9.3625e-05,9.3625e-05,0.0300936
72,398.518,0.57528,1.06968,0.90046,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,8.61763e-05,8.61763e-05,0.0290862
73,403.32,0.58724,1.11892,0.91553,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,7.848e-05,7.848e-05,0.0280785
74,408.026,0.5822,1.00009,0.89737,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,7.05363e-05,7.05363e-05,0.0270705
75,412.631,0.57862,1.03315,0.86554,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,6.2345e-05,6.2345e-05,0.0260623
76,417.384,0.58718,1.12418,0.93896,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,5.39062e-05,5.39062e-05,0.0250539
77,422.3,0.57117,1.13367,0.92795,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,4.522e-05,4.522e-05,0.0240452
78,426.925,0.61344,0.9609,0.89498,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,3.62862e-05,3.62862e-05,0.0230363
79,431.455,0.62669,0.99314,0.87175,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,2.7105e-05,2.7105e-05,0.0220271
80,436.204,0.58199,1.00009,0.89204,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,1.76762e-05,1.76762e-05,0.0210177
